"id","nombres","apellidos","cedula","email","password","telefono","fecha_nac","foto","created_at","updated_at","id_centro"
1,"ALEJANDRO","LOOR","3894245856","APXZQoSY@gmail.com","$2y$10$Gf.tK71blfN/F.ZvYjSdOeeVhfcDrqnUgHfG9wOuSzvzIMOGH0sfO","59344700603","1999-11-12","http://www.0BcIrjyC.com/foto_1.jpg","2017-11-12 17:50:40","2017-11-12 17:50:40",1
2,"GUILLERMO","FERNANDEZ","6052133676","3vl63HOe@gmail.com","$2y$10$eSp002VKoqvL9SKfq/kUD.VZknsNV1SypnWvY0IE3tuUz.qVZfwr6","59347544652","1976-11-12","http://www.rqRXabEL.com/foto_2.jpg","2017-11-12 17:50:40","2017-11-12 17:50:40",1
3,"ISRAEL","MOLINA","7740103741","7SRt2LtP@gmail.com","$2y$10$yiqARRdLGQmYNSSxnsfqg.JC.fekfh/OeWETByo.dmsUqmHZ1ZThu","59346266250","1955-11-12","http://www.3XR9DaO5.com/foto_3.jpg","2017-11-12 17:50:40","2017-11-12 17:50:40",1
4,"JEFFERSON","BRAVO","6573628480","PCRfus7G@gmail.com","$2y$10$Wdht7gJrPLKBqg0thusrKuGnt7HQwR6bFd/cLwxpQxZHHqf1kkRZa","59343230764","1983-11-12","http://www.JWdfUzhC.com/foto_4.jpg","2017-11-12 17:50:40","2017-11-12 17:50:40",1
5,"SIXTO","JIMENEZ","5621207219","b506swe7@gmail.com","$2y$10$Zxna7amp.ASwFJH41jG71OCaeJrAqGKZDnTb5hT1x5k/B4YfaVFj2","59343003428","1953-11-12","http://www.47dLfq4U.com/foto_5.jpg","2017-11-12 17:50:40","2017-11-12 17:50:40",1
6,"JESUS","SANCHEZ","6128216334","B9VLrDkA@gmail.com","$2y$10$aJMFbVZWjYcjQWej1WDzh.NT78lXlxUljDfpV5TfUuaQmvO6r1R0y","59349792011","1951-11-12","http://www.rwhSTxZx.com/foto_6.jpg","2017-11-12 17:50:40","2017-11-12 17:50:40",1
7,"RAMIRO","ALONSO","3165122861","xuOiTjA9@gmail.com","$2y$10$j4ofEIraO.v5.fll8yseKOpuMWNDb3holsdCAbGXe71PAGUkz0gu2","59344960330","1976-11-12","http://www.cppfgxq4.com/foto_7.jpg","2017-11-12 17:50:40","2017-11-12 17:50:40",1
8,"ROBERTO","ACOSTA","7927113670","vvjgtEmD@gmail.com","$2y$10$.PsLwUz2m.MNGvlPkfijZuDy4ba51cVAIBkVFI8DTdkN4.t2WkrwO","59348847696","1994-11-12","http://www.rkrWkbm7.com/foto_8.jpg","2017-11-12 17:50:40","2017-11-12 17:50:40",1
9,"JOSUE","CASTRO","4653874235","kbARqj7L@gmail.com","$2y$10$gF2J8CLdSsok9jVEHeOTZudahlO/PBhQ/5Td2BNUIu0YcH5XgxfhW","59345506978","1971-11-12","http://www.ONeLOhiz.com/foto_9.jpg","2017-11-12 17:50:40","2017-11-12 17:50:40",1
10,"PEDRO","MUÑOZ","7319003606","hrVuwNpe@gmail.com","$2y$10$h5mnkwwjBQT4lpxti.oTeuCiK0MpbrsbeUWccDo5z8A8lRwD4um7O","59345125215","1991-11-12","http://www.S0r9Aqsd.com/foto_10.jpg","2017-11-12 17:50:40","2017-11-12 17:50:40",1
11,"ROBERTO","ORTIZ","8320499598","wAmLkTI0@gmail.com","$2y$10$z0.FsW00es5ZibASx5jtQONKmCWamVU8NMkMN.sSibOrC8DVWU2VC","59345132541","1957-11-12","http://www.nXBAEZrd.com/foto_11.jpg","2017-11-12 17:50:40","2017-11-12 17:50:40",2
12,"JOSE","NAVARRO","9886733877","qbFtSd9N@gmail.com","$2y$10$UopzSG.ghJdWwvEtZeT1deG769hNyhBsFnvsCfZDxNSPXO5L779MC","59344503080","1974-11-12","http://www.VdoQJCte.com/foto_12.jpg","2017-11-12 17:50:40","2017-11-12 17:50:40",2
13,"MATEO","NUÑEZ","8185159258","9oTaOVwA@gmail.com","$2y$10$sQEo68Nmt4gaHbcwov5RYOpi5gF.hGC4m7sV2HsPpfqVeB0IZan5G","59342130087","1952-11-12","http://www.O9stLl7k.com/foto_13.jpg","2017-11-12 17:50:41","2017-11-12 17:50:41",2
14,"JUAN","ALONSO","5094154346","hXsIUsuo@gmail.com","$2y$10$Au2zO9zvc06iY8W7a0iyOujqmFfKL4E/W4ZWxIJ.irfpAZLzHhhS6","59343015422","1976-11-12","http://www.lw0SkUGb.com/foto_14.jpg","2017-11-12 17:50:41","2017-11-12 17:50:41",2
15,"JAIME","ALVAREZ","4026663576","6BdntXZ1@gmail.com","$2y$10$8hljMos4R3D8jEBwVFKjsugvC/XokCtajFcPAZDB5Oix9rP4DM8CW","59344000196","1969-11-12","http://www.QYqY1uwC.com/foto_15.jpg","2017-11-12 17:50:41","2017-11-12 17:50:41",2
