"id","id_fundacion","nombres","apellidos","cedula","email","password","telefono","fecha_nac","foto","estado","created_at","updated_at"
1,1,"FABIAN","LOPEZ","4131825761","pJfMCRIb@gmail.com","$2y$10$g2C7iJipGv7F/G59ppKp3.IRaoBxvfaAZOj5BtCGhVwkeilfpPb72","59348488507","1995-11-12","http://www.0WhGLto5.com/foto_1.jpg",1,"2017-11-12 21:15:31","2017-11-12 21:15:31"
2,1,"ISRAEL","ACOSTA","1516088631","gpYwgxZD@gmail.com","$2y$10$B2MEqCxod9SyXktqUz4fCeacT4a8rVret8.ITauky24fxLXa.nVYy","59349783473","1968-11-12","http://www.ZxqDsqWj.com/foto_2.jpg",1,"2017-11-12 21:15:31","2017-11-12 21:15:31"
3,1,"JOSUE","RUIZ","2462486223","BR08om2Y@gmail.com","$2y$10$bUEkAKaZXbxWhpmKtbZC7uY.WavFSU30EftfVZtbrW8fCfzFBySRC","59348558128","1969-11-12","http://www.xReU1QgL.com/foto_3.jpg",1,"2017-11-12 21:15:31","2017-11-12 21:15:31"
4,1,"JOSE","BRAVO","9950680071","c2pjzCM1@gmail.com","$2y$10$e7RQCe8CIQV9VUMHOclQIePQu7ijulPKNIc7QxmQTAxVKzaALPO0a","59344659509","1980-11-12","http://www.86rKBsuY.com/foto_4.jpg",1,"2017-11-12 21:15:31","2017-11-12 21:15:31"
5,1,"JULIO","ACOSTA","2554333997","27pkIcxg@gmail.com","$2y$10$NLTiXd/ihQyTiiKz.hDO.O/gAMZQ4UsE8ESH8ww2AbiFMGQB7eHju","59343078996","1975-11-12","http://www.lizc3R81.com/foto_5.jpg",1,"2017-11-12 21:15:32","2017-11-12 21:15:32"
6,1,"JUAN","JIMENEZ","8872268295","tqUBCRct@gmail.com","$2y$10$u5Q9dgJ9/1ZAkyOJYKw/ceptjj6u0YvFMBnvcZSOoi1iVHOc0WcrO","59349898516","1984-11-12","http://www.bXLR38A2.com/foto_6.jpg",1,"2017-11-12 21:15:32","2017-11-12 21:15:32"
7,1,"JUSTIN","GOMEZ","3373683587","oXWIbZAx@gmail.com","$2y$10$9vXagG0j2XMtAy/KBypIDuFkLAgBkrbUTuTOlERp51y5PIOslraTG","59346637401","1951-11-12","http://www.mqQ2g3lx.com/foto_7.jpg",1,"2017-11-12 21:15:32","2017-11-12 21:15:32"
8,1,"ROBERTO","FLORES","9618266424","mbTUiyyH@gmail.com","$2y$10$mq9frNatuG8AFfEhzzf4fO/lmNQwXy1rdm7DtAbpBumUgNVvB6Sai","59343858990","1997-11-12","http://www.asFDH7It.com/foto_8.jpg",1,"2017-11-12 21:15:32","2017-11-12 21:15:32"
9,1,"JOSE","BRAVO","5126728288","JwMfM64x@gmail.com","$2y$10$0g.osCXTZLRFgB/GxJBPZ.q8ksJETpRpoKcYyDmaKHnqI3vbMlZby","59349890686","1949-11-12","http://www.1YcFpoYb.com/foto_9.jpg",1,"2017-11-12 21:15:32","2017-11-12 21:15:32"
10,1,"DENNIS","VACA","4122855252","qMTRYQlc@gmail.com","$2y$10$JQd1raV8JLR8ILyIDfDNXuPpSkNzAMfJ3z6gEhjxntgTMWEfXFovi","59344643903","1960-11-12","http://www.6jk9UTF8.com/foto_10.jpg",1,"2017-11-12 21:15:32","2017-11-12 21:15:32"
11,2,"CARLOS","GARCIA","4259969599","wFnZkBgq@gmail.com","$2y$10$al9nm2pE5ck6NRZN.kaVLuBzPxB18TRa7X63WkHsjxYBR5GDNniia","59347220556","1983-11-12","http://www.yR1SnE7D.com/foto_11.jpg",1,"2017-11-12 21:15:32","2017-11-12 21:15:32"
12,2,"PATRICIO","GOMEZ","5918347210","QAap9c7g@gmail.com","$2y$10$6ueqVZcsfEk5YiJHuNS73unhxtIA4bLYDb./w3bUNFkthu7j4jn8q","59348801986","1975-11-12","http://www.3Yd4BVJ5.com/foto_12.jpg",1,"2017-11-12 21:15:32","2017-11-12 21:15:32"
13,2,"CHRISTIAN","NAVARRO","9770558030","FDPasy0W@gmail.com","$2y$10$G2YKsorXZZVTS4gL2pJiEedVv5ZwFu5k7D3irqDk3oMmuAfy5Xfs6","59348777815","1950-11-12","http://www.pJ0GvkOt.com/foto_13.jpg",1,"2017-11-12 21:15:33","2017-11-12 21:15:33"
14,2,"SEBASTIAN","ALVAREZ","6819019312","S4Jq2Dq5@gmail.com","$2y$10$5JsrtoMbKNxv/TDXiy4tE.uH8dBCrk6u.63zJ0Aqbwib4r08TKWwW","59348558392","1993-11-12","http://www.dxy09PBK.com/foto_14.jpg",1,"2017-11-12 21:15:33","2017-11-12 21:15:33"
15,2,"BORIS","MORENO","6567660302","CIKQsymk@gmail.com","$2y$10$PFOJDBWsEEzKvhXl.OW/wuVG6go3DMyf5/BwEzJUHFxQ8RO4Qd946","59348954503","1963-11-12","http://www.ynOZXlHa.com/foto_15.jpg",1,"2017-11-12 21:15:33","2017-11-12 21:15:33"
16,2,"JOSE","PEREZ","3038709917","uTk3hVeh@gmail.com","$2y$10$xl080OwvwpI4hExyAYCtxeCerQFeMBCbk32vHkif1Dv5XrlymkDae","59348916988","1989-11-12","http://www.YqWTR2Jn.com/foto_16.jpg",1,"2017-11-12 21:15:33","2017-11-12 21:15:33"
17,2,"MATEO","ORTIZ","3752775451","tJHFs7m6@gmail.com","$2y$10$yFeBdKd6yxrm1VKBnrmFz.dGytZ8s3J76Nq5.TYjvPUwMcIaUnnvy","59347045182","1951-11-12","http://www.AIkKJ7HA.com/foto_17.jpg",1,"2017-11-12 21:15:33","2017-11-12 21:15:33"
18,2,"ANTONIO","GOMEZ","5418628500","WflOcG8I@gmail.com","$2y$10$LT0F1fWE1Fc2dwa/12PMk.rQwedSl.fQqX3.4FLpiNV.FfBEE69yK","59344592955","1990-11-12","http://www.mI6lYq5C.com/foto_18.jpg",1,"2017-11-12 21:15:33","2017-11-12 21:15:33"
19,2,"ALEJANDRO","MUÑOZ","9157743403","tfzFFH8W@gmail.com","$2y$10$cB4SlQWpg/DeKO33ekNhPuRmMG2sT9R6dp/GC1vtOxpznymv3IB3G","59344802092","1983-11-12","http://www.sR0V4B7S.com/foto_19.jpg",1,"2017-11-12 21:15:33","2017-11-12 21:15:33"
20,2,"IGNACIO","ALVAREZ","2078158620","UIIqtN9A@gmail.com","$2y$10$4dIXJW0qGIpU1KteeiC4KujgVwFolvcSP1PTledOaVnZb.CjdPcPG","59344073674","1992-11-12","http://www.XEI11yJh.com/foto_20.jpg",1,"2017-11-12 21:15:33","2017-11-12 21:15:33"
